Date,Open,High,Low,Close,Adj Close,Volume
2018-08-20,164.0,169.9,164.0,168.7,148.42,9674107
2018-08-21,169.8,171.25,166.8,170.2,149.74,5181397
2018-08-23,171.0,172.5,168.9,171.9,151.24,6635245
2018-08-24,171.0,176.5,170.8,174.75,153.75,9867693
2018-08-27,175.45,176.9,175.0,176.05,154.89,3612496
2018-08-28,176.2,178.5,173.25,174.6,153.61,5439278
2018-08-29,175.0,178.7,174.1,177.0,155.73,6288920
2018-08-30,176.9,181.9,176.15,177.45,156.12,11296260
2018-08-31,178.75,181.25,177.75,180.05,158.41,8916222
2018-09-03,180.75,180.75,176.65,177.3,155.99,3168480
2018-09-04,177.75,178.15,173.6,174.35,153.39,2874936
2018-09-05,174.15,175.0,170.75,173.7,152.82,3735722
2018-09-06,174.0,176.15,170.6,174.5,153.53,6809374
2018-09-07,175.0,175.0,171.1,171.9,151.24,5309239
2018-09-10,170.5,171.3,168.1,168.65,148.38,5569685
2018-09-11,168.7,170.0,167.4,167.8,147.63,8750333
2018-09-12,166.2,170.8,166.2,168.5,148.25,5610743
2018-09-14,169.5,173.3,168.4,172.55,151.81,4720460
2018-09-17,171.1,173.55,170.65,171.7,151.06,4012086
2018-09-18,172.35,174.6,171.75,173.9,153.0,6426239
2018-09-19,173.25,178.7,173.25,177.0,156.94,10038603
2018-09-21,177.3,181.55,176.7,180.4,159.96,9298030
2018-09-24,181.0,185.4,179.3,180.6,160.14,13799885
2018-09-25,181.95,184.65,179.4,182.3,161.64,8363857
2018-09-26,184.8,184.8,178.95,180.6,160.14,6680285
2018-09-27,181.1,181.75,175.05,175.8,155.88,7853039
2018-09-28,177.0,181.0,172.35,177.2,157.12,8598293
2018-10-01,179.3,181.1,174.65,179.0,158.72,4582462
2018-10-03,177.9,183.5,177.9,181.45,160.89,8893914
2018-10-04,180.5,182.55,163.35,172.4,152.87,7866152
2018-10-05,160.05,160.05,145.6,147.05,130.39,35255036
2018-10-08,149.0,150.85,144.7,149.8,132.83,11709162
2018-10-09,150.5,151.9,145.45,146.65,130.03,6818577
2018-10-10,146.1,151.45,146.1,148.6,131.76,10873198
2018-10-11,146.1,159.6,146.1,152.95,135.62,15633772
2018-10-12,154.7,158.35,154.05,157.4,139.56,6089606
2018-10-15,158.95,160.9,156.65,160.15,142.0,4679911
2018-10-16,161.95,167.2,161.1,165.6,146.84,8912396
